Entry_type,Case_identifier,Activity,Timestamp,Resource,Start_time,Duration,Result,Quality
ENVIRONMENT,,20 tasks loaded,2023-01-03T07:56:49,task.TaskSetArtifact,,,,
MANAGEMENT,,Agent started,2023-01-03T07:56:54,mona,,,,
MANAGEMENT,,"Unspecified agent type, no learning of initial knowledge",2023-01-03T07:56:54,mona,,,,
MONITORING,,Number of HA assistance requests,2023-01-03T07:56:55,mona,,,0,
MONITORING,,Number of CSA teaching requests,2023-01-03T07:56:55,mona,,,0,
MANAGEMENT,,Agent started,2023-01-03T07:58:03,csa,,,,
MANAGEMENT,,Agent started,2023-01-03T07:58:03,ht,,,,
MANAGEMENT,,Loading initial knowledge,2023-01-03T07:58:05,csa,,,,
MANAGEMENT,,Loading initial knowledge,2023-01-03T07:58:05,ht,,,,
MANAGEMENT,,Domain knowledge learned (Closed-ended questions not yet corrected),2023-01-03T07:58:07,csa,,,SUCCESS,
MANAGEMENT,,Domain knowledge learned (Answer groups for open-ended questions not determined),2023-01-03T07:58:08,csa,,,SUCCESS,
MANAGEMENT,,Domain knowledge learned (Open-ended questions not yet corrected),2023-01-03T07:58:11,csa,,,SUCCESS,
MANAGEMENT,,Domain knowledge learned (Open-ended questions not yet corrected),2023-01-03T07:58:11,ht,,,SUCCESS,
MANAGEMENT,,Domain knowledge learned (Total points not counted),2023-01-03T07:58:12,csa,,,SUCCESS,
MANAGEMENT,,Starting break,2023-01-03T07:58:13,ht,,,,
ENVIRONMENT,task_0001,New task: Correct exam paper,2023-01-03T08:00:01,task.TaskArtifact,,,,
ENVIRONMENT,task_0001,New situation: Closed-ended questions not yet corrected,2023-01-03T08:00:01,task.TaskArtifact,,,,
ENVIRONMENT,task_0002,New task: Correct exam paper,2023-01-03T08:00:01,task.TaskArtifact,,,,
ENVIRONMENT,task_0002,New situation: Closed-ended questions not yet corrected,2023-01-03T08:00:01,task.TaskArtifact,,,,
ENVIRONMENT,task_0001,New situation: Answer groups for open-ended questions not determined,2023-01-03T08:00:01,task.TaskArtifact,,,,
ENVIRONMENT,task_0003,New task: Correct exam paper,2023-01-03T08:00:01,task.TaskArtifact,,,,
ENVIRONMENT,task_0002,New situation: Answer groups for open-ended questions not determined,2023-01-03T08:00:01,task.TaskArtifact,,,,
ENVIRONMENT,task_0003,New situation: Closed-ended questions not yet corrected,2023-01-03T08:00:01,task.TaskArtifact,,,,
ENVIRONMENT,task_0004,New task: Correct exam paper,2023-01-03T08:00:01,task.TaskArtifact,,,,
ENVIRONMENT,task_0003,New situation: Answer groups for open-ended questions not determined,2023-01-03T08:00:01,task.TaskArtifact,,,,
ENVIRONMENT,task_0004,New situation: Closed-ended questions not yet corrected,2023-01-03T08:00:01,task.TaskArtifact,,,,
ENVIRONMENT,task_0004,New situation: Answer groups for open-ended questions not determined,2023-01-03T08:00:01,task.TaskArtifact,,,,
ENVIRONMENT,task_0005,New task: Correct exam paper,2023-01-03T08:00:01,task.TaskArtifact,,,,
ENVIRONMENT,task_0005,New situation: Closed-ended questions not yet corrected,2023-01-03T08:00:01,task.TaskArtifact,,,,
ENVIRONMENT,task_0005,New situation: Answer groups for open-ended questions not determined,2023-01-03T08:00:01,task.TaskArtifact,,,,
ENVIRONMENT,task_0006,New task: Correct exam paper,2023-01-03T08:00:01,task.TaskArtifact,,,,
ENVIRONMENT,task_0006,New situation: Closed-ended questions not yet corrected,2023-01-03T08:00:02,task.TaskArtifact,,,,
